PO_Number,Vendor,Facility,Category,Quantity,Unit_Cost,Total_Cost,Order_Date,Delivery_Date
PO00001,IronGate Mechanical,Phoenix Distribution Center,Electrical,2,828,1656,2021-05-25,2021-06-03
PO00002,Precision Plumbing,Phoenix Distribution Center,Networking,30,566,16980,2020-09-22,2020-10-22
PO00003,Precision Plumbing,Phoenix Distribution Center,Office,31,671,20801,2020-10-23,2020-11-18
PO00004,Rocky Mountain Fasteners,Phoenix Distribution Center,Mechanical,5,93,465,2020-09-12,2020-10-04
PO00005,Precision Plumbing,Denver Operations Center,Safety,75,581,43575,2020-12-21,2021-01-09
PO00006,Atlas Industrial Suppy,Denver Operations Center,Plumbing,6,287,1722,2021-05-08,2021-06-06
PO00007,Mountain HVAC Solutions,Albuquerque Distribution Center,Plumbing,73,374,27302,2020-11-17,2020-12-11
PO00008,Atlas Industrial Suppy,Phoenix Distribution Center,Networking,29,210,6090,2021-06-29,2021-07-28
PO00009,BluePeak Office Supply,Albuquerque Distribution Center,Office,14,453,6342,2021-05-23,2021-06-21
PO00010,Prime Industrial Tools,Salt Lake Service Hub,Safety,37,80,2960,2020-08-28,2020-09-02
PO00011,Precision Plumbing,Denver Operations Center,Hardware,45,479,21555,2020-11-22,2020-12-21
PO00012,IronGate Mechanical,Denver Operations Center,Janitorial,38,345,13110,2020-11-08,2020-11-25
PO00013,Prime Industrial Tools,Denver Operations Center,Electrical,21,282,5922,2021-03-05,2021-03-17
PO00014,Mountain HVAC Solutions,Albuquerque Distribution Center,HVAC,44,37,1628,2020-07-25,2020-08-12
PO00015,Mountain HVAC Solutions,Salt Lake Service Hub,Mechanical,15,97,1455,2021-04-29,2021-05-05
PO00016,Mountain HVAC Solutions,Reno Operations Center,Hardware,34,861,29274,2021-02-06,2021-02-26
PO00017,Mountain HVAC Solutions,Salt Lake Service Hub,Networking,29,379,10991,2020-10-08,2020-10-27
PO00018,Atlas Industrial Suppy,Salt Lake Service Hub,HVAC,25,245,6125,2021-05-10,2021-05-25
PO00019,Western Network Systems,Reno Operations Center,Janitorial,50,28,1400,2020-07-19,2020-07-26
PO00020,BluePeak Office Supply,Salt Lake Service Hub,Mechanical,70,32,2240,2021-04-03,2021-05-02
PO00021,Prime Industrial Tools,Salt Lake Service Hub,Office,42,652,27384,2021-03-30,2021-04-10
PO00022,Mountain HVAC Solutions,Phoenix Distribution Center,Safety,62,856,53072,2020-08-21,2020-09-13
